X,B cell,DC,Fibroblast,ILC,Keratinocytes,Lymphatic endothelium,Macrophage,Mast cell,Melanocyte,Mural cell,Schwann cell,T cell,Vascular endothelium
46x40,0.08030021,0.093346335,0.108268395,0.059152834,0.3168988,0.090543926,0.09923525,0.43313727,0.122382194,0.029957758,0.29935467,0.05855941,0.14674158
14x38,0.055237614,0.047973096,0.05473722,0.04158055,0.4450724,0.07466081,0.027250152,0.1088284,0.25380677,0.045835566,0.28385544,0.046133872,0.037399396
34x15,0.5666478,0.19117968,0.4002736,0.16471013,0.97812265,0.114837065,0.17613727,0.3887236,0.6588193,0.16400583,0.7492377,0.21187882,0.15572792
47x33,0.3498712,0.035816368,0.12929349,0.0697463,0.58326054,0.20756263,0.032317728,0.15594834,0.07474187,0.03257771,0.20699894,0.07605024,0.027378451
17x17,0.081672564,0.024696968,0.02397293,0.046541873,0.14956602,0.025740653,0.041564852,0.12061449,0.04314826,0.017320963,0.17142738,0.046134986,0.0136196865
27x20,0.093766935,0.13342284,0.18219618,0.06933952,0.6745245,0.25070086,0.093032435,0.19187093,0.12871885,0.16133563,0.46462464,0.059666287,0.06923444
7x26,0.06853957,0.02889286,0.045837156,0.025442287,0.47376317,0.037524883,0.02611183,0.10573242,0.051372577,0.028210094,0.2268805,0.028439118,0.052573204
5x19,0.23430836,0.61856824,0.091098964,0.099319585,0.959886,0.08010709,0.101741105,0.28275737,0.17076124,0.20348617,0.40946698,0.071246184,0.067762196
2x41,0.114018895,0.07177563,0.05319098,0.04146546,0.6028569,0.037248697,0.08637719,0.17112291,0.1053406,0.033630814,0.17650707,0.0417448,0.022474833
23x45,0.031740054,0.05107359,0.032006305,0.022579452,0.25012866,0.073370524,0.02046599,0.05574664,0.03926679,0.02849705,0.15405397,0.023693891,0.022284772
12x18,0.11071171,0.09231439,0.18403563,0.06990431,0.8760663,0.08801149,0.04873496,0.21107778,0.20448317,0.07461392,0.2962138,0.071444444,0.11093697
10x42,0.4343144,0.09215793,0.18273419,0.07077681,0.8129094,0.07566682,0.098547556,0.28805143,0.16296814,0.05385813,0.42587012,0.056985326,0.1151333
22x18,0.10985914,0.028986698,0.025422662,0.0257525,0.25162345,0.051187247,0.074274525,0.11298789,0.077706665,0.031174334,0.19645117,0.020677138,0.09036707
4x34,0.13095166,0.093288064,0.12003575,0.0915445,1.286923,0.10882944,0.0764023,0.34329802,0.20643947,0.06478519,0.6980676,0.103927195,0.1241688
21x8,0.12396835,0.15335587,0.22939444,0.13228182,1.2643242,0.098967075,0.18052356,0.30126908,0.24651155,0.10864568,0.32236576,0.16626647,0.05378596
5x35,0.45845684,0.20859256,0.41844317,0.18028516,1.6060673,0.19099575,0.2531369,0.6687675,0.33017185,0.30158862,1.1327033,0.17525716,0.21147352
44x41,0.058030263,0.015634503,0.024031596,0.023858307,0.11628082,0.024195468,0.01655192,0.08379304,0.052849397,0.02227014,0.09067099,0.10799839,0.015119862
33x12,0.08484793,0.041251224,0.112804905,0.022787912,0.33087093,0.034378853,0.019215723,0.068950355,0.07120888,0.031678103,0.27296036,0.021095337,0.04642991
34x24,0.35250288,0.14338732,0.26913768,0.07686831,1.744234,0.4538211,0.08648564,0.36633456,0.14983802,0.19704363,0.6249679,0.07812555,0.0708438
24x48,0.06609513,0.173944,0.116749234,0.038845252,0.53350025,0.06958401,0.17399177,0.17827852,0.07059322,0.04755025,0.34103382,0.032309894,0.0764146
48x34,0.067723155,0.02709472,0.03445707,0.024590764,0.31801584,0.029887041,0.0218597,0.09898376,0.050663058,0.031586584,0.19838269,0.0395302,0.029029598
37x27,0.053312663,0.041617166,0.048130617,0.023020666,0.17979936,0.01737461,0.040426534,0.078659624,0.04306961,0.055962805,0.0946006,0.021014292,0.03132075
46x1,0.31183788,0.38767356,0.53565997,0.2491851,0.6804236,0.38768998,0.26761362,0.7762547,0.3067303,0.19346727,1.2535425,0.21951587,0.26782796
14x12,0.11745763,0.02604965,0.05951218,0.023371832,0.33008364,0.02254811,0.03170028,0.10542322,0.059304785,0.037333123,0.14842251,0.021074472,0.023600178
15x41,0.06693674,0.023943061,0.025737246,0.025436813,0.35184318,0.027761767,0.031477526,0.12443697,0.07830782,0.07628793,0.23220162,0.023570096,0.056315694
11x29,0.14023034,0.15252009,0.3732676,0.116846666,1.2149342,0.10358925,0.10338253,0.36612457,0.26123735,0.2272388,0.6809394,0.102100305,0.12386936
39x6,0.033879235,0.06584616,0.08914731,0.017649606,0.15812625,0.024248522,0.02513863,0.077908255,0.037851874,0.010880668,0.107183255,0.023772245,0.015087469
