gene,detected_spots
ATP1B1,257
NME7,13
BLZF1,1
F5,2
SELE,1
C1orf112,1
SCYL3,3
KIFAP3,27
RP11.297H3.3,4
GORAB,5
PRRX1,15
FMO3,1
FMO2,1
FMO4,3
PRRC2C,125
VAMP4,2
METTL13,33
DNM3,5
PIGC,21
SUCO,126
RP1.15D23.2,2
PRDX6,159
KLHL20,8
RN7SKP160,1
CENPL,1
DARS2,2
GAS5,379
ZBTB37,15
RC3H1,20
RABGAP1L,61
RNU6.307P,5
CACYBP,23
KIAA0040,68
TNR,15
RP11.318C24.2,1
RFWD2,12
PAPPA2,1
ASTN1,1
BRINP2,2
RP4.798P15.3,25
RASAL2,17
RP11.428K3.1,3
RALGPS2,9
FAM20B,105
TOR3A,9
ABL2,33
SOAT1,359
AXDND1,37
TDRD5,1
FAM163A,4
TOR1AIP2,57
TOR1AIP1,13
CEP350,40
QSOX1,14
RP5.1180C10.2,6
ACBD6,31
XPR1,11
KIAA1614,6
RP11.46A10.4,14
STX6,16
MR1,8
IER5,171
CACNA1E,8
RP11.33M22.2,3
GLUL,277
RGSL1,1
RP11.317P15.5,1
NPL,68
DHX9,38
LAMC1,4
NMNAT2,9
SMG7,67
ARPC5,14
RGL1,25
COLGALT2,5
TSEN15,3
C1orf21,15
EDEM3,15
FAM129A,62
RNF2,11
TRMT1L,30
SWT1,26
IVNS1ABP,230
GS1.204I12.1,1
HMCN1,0
PRG4,47
TPR,33
C1orf27,18
PTGS2,4
PLA2G4A,1
BRINP3,4
RGS2,5
snoU109,0
UCHL5,30
RP11.101E13.5,3
TROVE2,18
GLRX2,4
CDC73,9
CFH,16
ZBTB41,4
CRB1,4
DENND1B,14
C1orf53,10
NEK7,11
PTPRC,2
LINC00862,1
ZNF281,10
KIF14,2
CAMSAP2,32
C1orf106,73
KIF21B,7
TMEM9,67
PKP1,161
TNNT2,70
LAD1,19
RP11.134G8.8,3
PHLDA3,160
CSRP1,246
RPS10P7,6
NAV1,24
IPO9,154
SHISA4,11
LMOD1,3
TIMM17A,110
RNPEP,10
ELF3,19
GPR37L1,13
ARL8A,18
PTPN7,2
LGR6,13
PPP1R12B,4
SYT2,1
RP11.569A11.1,35
KDM5B,39
RP11.480I12.7,0
RABIF,5
KLHL12,27
ADIPOR1,77
CYB5R1,193
TMEM183A,24
PPFIA4,44
ADORA1,7
MYBPH,128
CHI3L1,720
BTG2,47
FMOD,1
PRELP,7
ATP2B4,159
ZBED6,1
ZC3H11A,93
SNRPE,9
SOX13,2
GOLT1A,3
PLEKHA6,4
PPP1R15B,4
PIK3C2B,8
MDM4,149
RNA5SP74,1
RP11.430C7.4,2
LRRN2,0
RP11.430C7.5,2
NFASC,55
CNTN2,3
RBBP5,11
DSTYK,23
TMCC2,21
NUAK2,1
CDK18,1
MFSD4,39
ELK4,51
SLC45A3,3
NUCKS1,147
RAB7L1,46
SLC41A1,47
PM20D1,506
SLC26A9,2
RP11.312O7.2,3
FAM72A,2
C1orf186,69
SRGAP2,51
IKBKE,5
RASSF5,10
EIF2D,33
MAPKAPK2,24
C1orf116,159
YOD1,91
PFKFB2,28
CD55,22
CD46,165
C1orf132,13
CD34,13
PLXNA2,30
MIR205HG,481
CAMK1G,6
LAMB3,0
G0S2,0
HSD11B1,115
IRF6,104
SYT14,1
SERTAD4,1
HHAT,8
KCNH1,4
RCOR3,73
TRAF5,84
LINC00467,4
SLC30A1,128
NEK2,1
RP11.122M14.1,1
LPGAT1,10
INTS7,84
DTL,39
PPP2R5A,38
NENF,76
ATF3,26
NSL1,18
TATDN3,78
FLVCR1,7
VASH2,8
ANGEL2,60
RPS6KC1,3
PROX1.AS1,0
PROX1,11
PTPN14,125
KCTD3,34
SNORD116,1
USH2A,3
ESRRG,1
GPATCH2,7
RRP15,4
LYPLAL1,69
SLC30A10,2
EPRS,26
BPNT1,5
IARS2,116
RAB3GAP2,6
RN7SL464P,1
MARK1,0
C1orf115,14
MARC2,4
MARC1,4
HLX,4
DUSP10,20
RP11.400N13.2,1
HHIPL2,1
RP11.378J18.8,7
MIA3,36
AIDA,35
BROX,39
FAM177B,14
RP11.452F19.3,3
TLR5,2
SUSD4,33
CAPN8,3
CAPN2,55
TP53BP2,4
FBXO28,40
DEGS1,103
NVL,31
CNIH4,14
WDR26,166
CNIH3,21
DNAH14,26
LBR,2
ENAH,42
SRP9,51
EPHX1,29
RP11.285F7.2,11
TMEM63A,119
LEFTY1,4
PYCR2,3
SDE2,2
H3F3A,154
ACBD3,41
PARP1,5
C1orf95,16
ITPKB,25
PSEN2,1
ADCK3,28
CDC42BPA,23
CTD.2090I13.1,56
JMJD4,64
SNAP47.AS1,9
SNAP47,22
WNT9A,1
ARF1,39
C1orf35,111
MRPL55,73
GUK1,417
GJC2,5
RP5.1139B12.2,2
OBSCN,126
TRIM11,11
HIST3H2A,7
RNF187,201
RNA5S1,33
RNA5S2,36
RNA5S3,28
RNA5S4,29
RNA5S5,32
RNA5S6,38
RNA5S7,24
RNA5S8,32
RNA5S9,5
RNA5S10,37
RNA5S11,30
RNA5S12,33
RNA5S13,38
RNA5S14,38
RNA5S15,23
RNA5S16,48
RNA5S17,40
RHOU,1
RAB4A,14
CCSAP,2
ACTA1,7
NUP133,18
ABCB10,1
TAF5L,1
URB2,1
GALNT2,38
PGBD5,13
COG2,10
AGT,24
C1orf198,28
TTC13,7
ARV1,9
FAM89A,1
C1orf131,33
GNPAT,228
EXOC8,73
SPRTN,52
EGLN1,17
RP11.295G20.2,1
TSNAX,27
SIPA1L2,3
RNU1.74P,1
NTPCR,8
PCNXL2,6
MLK4,1
KCNK1,25
SLC35F3,6
RP5.827C21.6,42
COA6,4
TARBP1,14
IRF2BP2,38
TOMM20,49
RBM34,3
ARID4B,59
GGPS1,21
TBCE,11
B3GALNT2,7
LYST,62
NID1,6
GPR137B,42
ERO1LB,3
EDARADD,18
RP11.385F5.5,2
LGALS8,49
HEATR1,40
ACTN2,11
MTR,5
RYR2,4
MTRNR2L11,113
RP11.544D21.2,0
FMN2,1
RP11.527D7.1,2
FH,40
OPN3,1
CHML,2
RP11.561I11.3,10
CEP170,6
SDCCAG8,21
AKT3,13
ZBTB18,38
ADSS,15
DESI2,0
COX20,18
HNRNPU.AS1,189
HNRNPU,188
EFCAB2,1
KIF26B,1
SMYD3,1
CNST,44
SCCPDH,1
RP11.439E19.3,1
AHCTF1,10
ZNF670,4
ZNF124,1
RP11.488L18.10,21
ZNF496,1
RP11.634B7.4,1
OR2G6,3
SH3BP5L,39
ZNF672,23
ZNF692,93
PGBD2,13
FAM110C,5
SH3YL1,8
ACP1,25
AC079779.4,1
AC105393.2,7
TMEM18,62
AC116614.1,1
TPO,1
PXDN,3
MYT1L,6
TSSC1,3
TRAPPC12,101
ADI1,88
RNASEH1,23
AC108488.3,3
RPS7,306
SOX11,4
AC073479.1,1
hsa.mir.7515,1
CMPK2,56
RSAD2,12
RNF144A.AS1,2
ID2,70
RP11.434B12.1,0
KIDINS220,122
MBOAT2,195
ASAP2,11
ITGB1BP1,86
CPSF3,27
IAH1,8
ADAM17,33
RP11.214N9.1,1
YWHAQ,145
RP11.521D12.5,1
TAF1B,4
RP11.95D17.1,4
GRHL1,190
KLF11,8
RRM2,10
SNORA51,2
HPCAL1,85
ODC1,20
RP11.791G15.2,3
ATP6V1C2,32
PDIA6,78
KCNF1,4
PQLC3,1
ROCK2,14
